NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_78	ENSG00000151692	22001	-1.7179598808288574	-0.4444487	Yes	
row_79	ENSG00000164237	22005	-1.7236770391464233	-0.42904225	Yes	
row_80	ENSG00000123643	22127	-1.8214049339294434	-0.4180247	Yes	
row_81	ENSG00000155660	22167	-1.8604665994644165	-0.40299276	Yes	
row_82	ENSG00000221890	22174	-1.871829628944397	-0.38638458	Yes	
row_83	ENSG00000171227	22188	-1.8845456838607788	-0.36997434	Yes	
row_84	ENSG00000101255	22219	-1.9300850629806519	-0.3539128	Yes	
row_85	ENSG00000168209	22323	-2.1006500720977783	-0.3395737	Yes	
row_86	ENSG00000181790	22358	-2.178262233734131	-0.32145327	Yes	
row_87	ENSG00000186480	22395	-2.296286106109619	-0.30235806	Yes	
row_88	ENSG00000226549	22399	-2.311941385269165	-0.2816479	Yes	
row_89	ENSG00000173890	22400	-2.312678337097168	-0.2607971	Yes	
row_90	ENSG00000151726	22420	-2.39667010307312	-0.24003763	Yes	
row_91	ENSG00000166598	22421	-2.3970110416412354	-0.21842651	Yes	
row_92	ENSG00000157326	22435	-2.5186634063720703	-0.1962992	Yes	
row_93	ENSG00000044574	22447	-2.584005832672119	-0.17349343	Yes	
row_94	ENSG00000173281	22453	-2.620180130004883	-0.15009356	Yes	
row_95	ENSG00000138449	22463	-2.726952075958252	-0.12590969	Yes	
row_96	ENSG00000197594	22466	-2.786175012588501	-0.100879245	Yes	
row_97	ENSG00000099194	22478	-2.9968764781951904	-0.074351095	Yes	
row_98	ENSG00000100219	22484	-3.127263069152832	-0.046379436	Yes	
row_99	ENSG00000128590	22490	-5.168980598449707	6.558827E-8	Yes	
